, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",571,262,298,10,1
"""Hispanic/Latin(a)(o)(x)""",60,33,26,1,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",6,1,3,0,2
"""Total""",639,297,328,11,3
