"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",219,196
"""1-3 days""",7,5
"""4-6 days""",5,11
"""7-10 days""",4,3
"""11+ days""",22,8
