, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1691,1049,588,40,14
"""Hispanic/Latin(a)(o)(x)""",200,67,125,8,0
"""Client Doesn't Know/Client Refused""",12,10,1,0,1
"""Data Not Collected""",24,7,6,3,8
"""Total""",1927,1133,720,51,23
