data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),7,0.05,data_quality,2016-08-01,2016-08-31,Q6c
Income and Sources (4.2) at Start,58,0.12,data_quality,2016-08-01,2016-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,81,0.75,data_quality,2016-08-01,2016-08-31,Q6c
Income and Sources (4.2) at Exit,7,0.07,data_quality,2016-08-01,2016-08-31,Q6c
