"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",36,57
"""1-3 days""",5,2
"""4-6 days""",5,0
"""7-10 days""",13,9
"""11+ days""",117,96
