"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",181,65,116
"""31 to 60 days""",90,37,53
"""61 to 90 days""",54,17,37
"""91 to 180 days""",94,34,60
"""181 to 365 days""",32,6,26
"""366 to 730 Days (1-2 Yrs)""",53,2,51
"""731 to 1,095 Days (2-3 Yrs)""",18,0,18
"""1,096 to 1,460 Days (3-4 Yrs)""",3,1,2
"""1,461 to 1,825 Days (5-5 Yrs)""",5,0,5
"""More than 1,825 Days (>5 Yrs)""",48,2,46
"""Data Not Collected""",0,0,0
"""Total""",578,164,414
