, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",534,311,212,10,1
"""Hispanic/Latin(a)(o)(x)""",41,22,18,1,0
"""Client Doesn't Know/Client Refused""",1,0,0,1,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",578,333,230,12,3
