"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",6,0.04
"""Income and Sources (4.2) at Start""",54,0.13
"""Income and Sources (4.2) at Annual Assessment""",69,0.64
"""Income and Sources (4.2) at Exit""",12,0.1
