count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,332,86,128,start,2015-01-01,2015-01-31,Q13a2,without_children,116
None,332,86,128,start,2015-01-01,2015-01-31,Q13a2,with_only_children,2
None,332,86,128,start,2015-01-01,2015-01-31,Q13a2,unknown_household_type,0
1 Condition,140,23,12,start,2015-01-01,2015-01-31,Q13a2,without_children,105
1 Condition,140,23,12,start,2015-01-01,2015-01-31,Q13a2,with_only_children,0
1 Condition,140,23,12,start,2015-01-01,2015-01-31,Q13a2,unknown_household_type,0
2 Conditions,63,6,3,start,2015-01-01,2015-01-31,Q13a2,without_children,54
2 Conditions,63,6,3,start,2015-01-01,2015-01-31,Q13a2,with_only_children,0
2 Conditions,63,6,3,start,2015-01-01,2015-01-31,Q13a2,unknown_household_type,0
3+ Conditions,37,4,1,start,2015-01-01,2015-01-31,Q13a2,without_children,32
3+ Conditions,37,4,1,start,2015-01-01,2015-01-31,Q13a2,with_only_children,0
3+ Conditions,37,4,1,start,2015-01-01,2015-01-31,Q13a2,unknown_household_type,0
Condition Unknown,18,4,3,start,2015-01-01,2015-01-31,Q13a2,without_children,11
Condition Unknown,18,4,3,start,2015-01-01,2015-01-31,Q13a2,with_only_children,0
Condition Unknown,18,4,3,start,2015-01-01,2015-01-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,1,start,2015-01-01,2015-01-31,Q13a2,without_children,0
Client Doesn't Know/Client Refused,1,0,1,start,2015-01-01,2015-01-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,1,start,2015-01-01,2015-01-31,Q13a2,unknown_household_type,0
Data Not Collected,5,0,2,start,2015-01-01,2015-01-31,Q13a2,without_children,3
Data Not Collected,5,0,2,start,2015-01-01,2015-01-31,Q13a2,with_only_children,0
Data Not Collected,5,0,2,start,2015-01-01,2015-01-31,Q13a2,unknown_household_type,0
