age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2015-01-01,2015-01-31,Q27b
Parent youth 18 to 24,11,15,26,9,parenting_youth,2015-01-01,2015-01-31,Q27b
