count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,196,33,58,exit,2019-12-01,2019-12-31,Q13b2,without_children,105
None,196,33,58,exit,2019-12-01,2019-12-31,Q13b2,with_only_children,0
None,196,33,58,exit,2019-12-01,2019-12-31,Q13b2,unknown_household_type,0
1 Condition,46,8,4,exit,2019-12-01,2019-12-31,Q13b2,without_children,34
1 Condition,46,8,4,exit,2019-12-01,2019-12-31,Q13b2,with_only_children,0
1 Condition,46,8,4,exit,2019-12-01,2019-12-31,Q13b2,unknown_household_type,0
2 Conditions,29,3,1,exit,2019-12-01,2019-12-31,Q13b2,without_children,25
2 Conditions,29,3,1,exit,2019-12-01,2019-12-31,Q13b2,with_only_children,0
2 Conditions,29,3,1,exit,2019-12-01,2019-12-31,Q13b2,unknown_household_type,0
3+ Conditions,19,0,0,exit,2019-12-01,2019-12-31,Q13b2,without_children,19
3+ Conditions,19,0,0,exit,2019-12-01,2019-12-31,Q13b2,with_only_children,0
3+ Conditions,19,0,0,exit,2019-12-01,2019-12-31,Q13b2,unknown_household_type,0
Condition Unknown,43,1,0,exit,2019-12-01,2019-12-31,Q13b2,without_children,42
Condition Unknown,43,1,0,exit,2019-12-01,2019-12-31,Q13b2,with_only_children,0
Condition Unknown,43,1,0,exit,2019-12-01,2019-12-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-12-01,2019-12-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-12-01,2019-12-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-12-01,2019-12-31,Q13b2,unknown_household_type,0
Data Not Collected,5,0,1,exit,2019-12-01,2019-12-31,Q13b2,without_children,4
Data Not Collected,5,0,1,exit,2019-12-01,2019-12-31,Q13b2,with_only_children,0
Data Not Collected,5,0,1,exit,2019-12-01,2019-12-31,Q13b2,unknown_household_type,0
