, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",478,274,199,4,1
"""Hispanic/Latin(a)(o)(x)""",52,19,33,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",2,1,0,0,1
"""Total""",532,294,232,4,2
