"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",51,17
"""1-3 days""",23,33
"""4-6 days""",11,12
"""7-10 days""",10,8
"""11+ days""",27,45
