"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",33,0.29
"""Income and Sources (4.2) at Start""",53,0.13
"""Income and Sources (4.2) at Annual Assessment""",76,0.7
"""Income and Sources (4.2) at Exit""",9,0.1
