, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",536,296,237,2,1
"""Hispanic/Latin(a)(o)(x)""",62,31,31,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",2,1,0,0,1
"""Total""",600,328,268,2,2
