"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",35,0.25
"""Income and Sources (4.2) at Start""",58,0.13
"""Income and Sources (4.2) at Annual Assessment""",70,0.69
"""Income and Sources (4.2) at Exit""",9,0.09
