"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",51,18
"""1-3 days""",4,7
"""4-6 days""",20,5
"""7-10 days""",11,3
"""11+ days""",96,107
