, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",458,253,201,2,2
"""April""",0,0,0,0,0
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
