"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",178,187
"""1-3 days""",18,20
"""4-6 days""",8,12
"""7-10 days""",21,9
"""11+ days""",143,108
