"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",398,236,162
"""31 to 60 days""",154,48,106
"""61 to 90 days""",104,23,81
"""91 to 180 days""",231,23,208
"""181 to 365 days""",122,6,116
"""366 to 730 Days (1-2 Yrs)""",107,1,106
"""731 to 1,095 Days (2-3 Yrs)""",36,0,36
"""1,096 to 1,460 Days (3-4 Yrs)""",34,0,34
"""1,461 to 1,825 Days (5-5 Yrs)""",9,0,9
"""More than 1,825 Days (>5 Yrs)""",33,1,32
"""Data Not Collected""",0,0,0
"""Total""",1228,338,890
