"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",49,0.14
"""Income and Sources (4.2) at Start""",184,0.21
"""Income and Sources (4.2) at Annual Assessment""",110,0.65
"""Income and Sources (4.2) at Exit""",103,0.38
