, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1118,632,463,13,10
"""Hispanic/Latin(a)(o)(x)""",103,35,66,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",6,2,1,0,3
"""Total""",1228,669,531,15,13
