"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",49,31
"""1-3 days""",20,5
"""4-6 days""",11,7
"""7-10 days""",16,9
"""11+ days""",57,69
