"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",5,0.04
"""Income and Sources (4.2) at Start""",52,0.13
"""Income and Sources (4.2) at Annual Assessment""",58,0.56
"""Income and Sources (4.2) at Exit""",13,0.19
