, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",574,245,317,12,0
"""Hispanic/Latin(a)(o)(x)""",42,12,28,2,0
"""Client Doesn't Know/Client Refused""",1,0,0,1,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",618,257,345,15,1
