, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",431,187,233,11,0
"""Black, African American, or African""",142,61,77,4,0
"""Asian or Asian American""",1,1,0,0,0
"""American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander""",1,1,0,0,0
"""Multiple Races""",41,6,35,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",618,257,345,15,1
