count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,107,32,23,exit,2022-08-01,2022-08-31,Q13b2,without_children,52
None,107,32,23,exit,2022-08-01,2022-08-31,Q13b2,with_only_children,0
None,107,32,23,exit,2022-08-01,2022-08-31,Q13b2,unknown_household_type,0
1 Condition,17,5,3,exit,2022-08-01,2022-08-31,Q13b2,without_children,9
1 Condition,17,5,3,exit,2022-08-01,2022-08-31,Q13b2,with_only_children,0
1 Condition,17,5,3,exit,2022-08-01,2022-08-31,Q13b2,unknown_household_type,0
2 Conditions,12,3,0,exit,2022-08-01,2022-08-31,Q13b2,without_children,9
2 Conditions,12,3,0,exit,2022-08-01,2022-08-31,Q13b2,with_only_children,0
2 Conditions,12,3,0,exit,2022-08-01,2022-08-31,Q13b2,unknown_household_type,0
3+ Conditions,6,0,0,exit,2022-08-01,2022-08-31,Q13b2,without_children,6
3+ Conditions,6,0,0,exit,2022-08-01,2022-08-31,Q13b2,with_only_children,0
3+ Conditions,6,0,0,exit,2022-08-01,2022-08-31,Q13b2,unknown_household_type,0
Condition Unknown,37,9,2,exit,2022-08-01,2022-08-31,Q13b2,without_children,25
Condition Unknown,37,9,2,exit,2022-08-01,2022-08-31,Q13b2,with_only_children,0
Condition Unknown,37,9,2,exit,2022-08-01,2022-08-31,Q13b2,unknown_household_type,1
Client Doesn't Know/Client Refused,0,0,0,exit,2022-08-01,2022-08-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-08-01,2022-08-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-08-01,2022-08-31,Q13b2,unknown_household_type,0
Data Not Collected,82,11,63,exit,2022-08-01,2022-08-31,Q13b2,without_children,6
Data Not Collected,82,11,63,exit,2022-08-01,2022-08-31,Q13b2,with_only_children,0
Data Not Collected,82,11,63,exit,2022-08-01,2022-08-31,Q13b2,unknown_household_type,2
