data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),2,0,18,20,0.01,data_quality,2022-08-01,2022-08-31,Q6a
Social Security Number (3.2),162,133,101,396,0.2,data_quality,2022-08-01,2022-08-31,Q6a
Date of Birth (3.3),5,17,1,23,0.01,data_quality,2022-08-01,2022-08-31,Q6a
Race (3.4),10,32,0,42,0.02,data_quality,2022-08-01,2022-08-31,Q6a
Ethinicity (3.5),12,27,0,39,0.02,data_quality,2022-08-01,2022-08-31,Q6a
Gender (3.6),0,9,0,9,0.0,data_quality,2022-08-01,2022-08-31,Q6a
Overall Score,0,0,0,438,0.22,data_quality,2022-08-01,2022-08-31,Q6a
