data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),385,382,0.99,data_quality,2022-08-01,2022-08-31,Q6f
Bed Night (All clients in ES - NBN),268,268,1.0,data_quality,2022-08-01,2022-08-31,Q6f
