data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),0,0.0,data_quality,2022-08-01,2022-08-31,Q6c
Income and Sources (4.2) at Start,438,0.29,data_quality,2022-08-01,2022-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,481,0.8,data_quality,2022-08-01,2022-08-31,Q6c
Income and Sources (4.2) at Exit,126,0.75,data_quality,2022-08-01,2022-08-31,Q6c
