"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",45,0.13
"""Income and Sources (4.2) at Start""",156,0.21
"""Income and Sources (4.2) at Annual Assessment""",71,0.57
"""Income and Sources (4.2) at Exit""",98,0.34
