, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",856,544,294,14,4
"""Hispanic/Latin(a)(o)(x)""",97,40,57,0,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",955,584,352,14,5
