, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",647,430,206,10,1
"""Black, African American, or African""",222,120,98,4,0
"""Asian or Asian American""",6,2,1,0,3
"""American Indian, Alaska Native, or Indigenous""",2,2,0,0,0
"""Native Hawaiian or Pacific Islander""",1,1,0,0,0
"""Multiple Races""",71,25,46,0,0
"""Client Doesn't Know/Client Refused""",3,2,1,0,0
"""Data Not Collected""",3,2,0,0,1
"""Total""",955,584,352,14,5
