"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",233,183
"""1-3 days""",13,2
"""4-6 days""",7,7
"""7-10 days""",39,34
"""11+ days""",80,121
