data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),17,0.25,data_quality,2017-05-01,2017-05-31,Q6c
Income and Sources (4.2) at Start,51,0.14,data_quality,2017-05-01,2017-05-31,Q6c
Income and Sources (4.2) at Annual Assessment,95,0.71,data_quality,2017-05-01,2017-05-31,Q6c
Income and Sources (4.2) at Exit,9,0.18,data_quality,2017-05-01,2017-05-31,Q6c
