count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,41,10,14,exit,2017-05-01,2017-05-31,Q13b2,without_children,17
None,41,10,14,exit,2017-05-01,2017-05-31,Q13b2,with_only_children,0
None,41,10,14,exit,2017-05-01,2017-05-31,Q13b2,unknown_household_type,0
1 Condition,14,4,4,exit,2017-05-01,2017-05-31,Q13b2,without_children,6
1 Condition,14,4,4,exit,2017-05-01,2017-05-31,Q13b2,with_only_children,0
1 Condition,14,4,4,exit,2017-05-01,2017-05-31,Q13b2,unknown_household_type,0
2 Conditions,7,1,0,exit,2017-05-01,2017-05-31,Q13b2,without_children,6
2 Conditions,7,1,0,exit,2017-05-01,2017-05-31,Q13b2,with_only_children,0
2 Conditions,7,1,0,exit,2017-05-01,2017-05-31,Q13b2,unknown_household_type,0
3+ Conditions,3,0,0,exit,2017-05-01,2017-05-31,Q13b2,without_children,3
3+ Conditions,3,0,0,exit,2017-05-01,2017-05-31,Q13b2,with_only_children,0
3+ Conditions,3,0,0,exit,2017-05-01,2017-05-31,Q13b2,unknown_household_type,0
Condition Unknown,0,0,0,exit,2017-05-01,2017-05-31,Q13b2,without_children,0
Condition Unknown,0,0,0,exit,2017-05-01,2017-05-31,Q13b2,with_only_children,0
Condition Unknown,0,0,0,exit,2017-05-01,2017-05-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,exit,2017-05-01,2017-05-31,Q13b2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,exit,2017-05-01,2017-05-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,exit,2017-05-01,2017-05-31,Q13b2,unknown_household_type,0
Data Not Collected,1,0,0,exit,2017-05-01,2017-05-31,Q13b2,without_children,1
Data Not Collected,1,0,0,exit,2017-05-01,2017-05-31,Q13b2,with_only_children,0
Data Not Collected,1,0,0,exit,2017-05-01,2017-05-31,Q13b2,unknown_household_type,0
