"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",90,69
"""1-3 days""",9,13
"""4-6 days""",21,6
"""7-10 days""",26,19
"""11+ days""",48,92
