"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",47,0.24
"""Income and Sources (4.2) at Start""",70,0.16
"""Income and Sources (4.2) at Annual Assessment""",83,0.87
"""Income and Sources (4.2) at Exit""",25,0.18
