, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",407,248,158,0,1
"""Black, African American, or African""",127,76,49,2,0
"""Asian or Asian American""",1,1,0,0,0
"""American Indian, Alaska Native, or Indigenous""",2,2,0,0,0
"""Native Hawaiian or Pacific Islander""",0,0,0,0,0
"""Multiple Races""",32,12,20,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",2,1,0,0,1
"""Total""",572,341,227,2,2
