, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",527,313,211,2,1
"""Hispanic/Latin(a)(o)(x)""",43,27,16,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",572,341,227,2,2
