"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",233,237
"""1-3 days""",32,25
"""4-6 days""",17,17
"""7-10 days""",16,15
"""11+ days""",71,62
