"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",407,263,144
"""31 to 60 days""",187,22,165
"""61 to 90 days""",134,36,98
"""91 to 180 days""",134,31,103
"""181 to 365 days""",103,6,97
"""366 to 730 Days (1-2 Yrs)""",89,2,87
"""731 to 1,095 Days (2-3 Yrs)""",34,0,34
"""1,096 to 1,460 Days (3-4 Yrs)""",30,0,30
"""1,461 to 1,825 Days (5-5 Yrs)""",8,0,8
"""More than 1,825 Days (>5 Yrs)""",33,0,33
"""Data Not Collected""",0,0,0
"""Total""",1159,360,799
