, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1059,577,464,13,5
"""Hispanic/Latin(a)(o)(x)""",94,26,66,2,0
"""Client Doesn't Know/Client Refused""",2,0,2,0,0
"""Data Not Collected""",4,0,3,0,1
"""Total""",1159,603,535,15,6
