"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",269,197
"""1-3 days""",36,20
"""4-6 days""",10,12
"""7-10 days""",15,3
"""11+ days""",48,65
