"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",19,0.06
"""Income and Sources (4.2) at Start""",361,0.25
"""Income and Sources (4.2) at Annual Assessment""",358,0.77
"""Income and Sources (4.2) at Exit""",97,0.45
