"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",456,233,223
"""31 to 60 days""",110,12,98
"""61 to 90 days""",111,10,101
"""91 to 180 days""",311,38,273
"""181 to 365 days""",238,2,236
"""366 to 730 Days (1-2 Yrs)""",157,1,156
"""731 to 1,095 Days (2-3 Yrs)""",255,0,255
"""1,096 to 1,460 Days (3-4 Yrs)""",111,1,110
"""1,461 to 1,825 Days (5-5 Yrs)""",39,0,39
"""More than 1,825 Days (>5 Yrs)""",67,0,67
"""Data Not Collected""",0,0,0
"""Total""",1855,297,1558
