, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1659,1057,560,24,18
"""Hispanic/Latin(a)(o)(x)""",169,57,104,8,0
"""Client Doesn't Know/Client Refused""",9,7,1,0,1
"""Data Not Collected""",18,4,5,2,7
"""Total""",1855,1125,670,34,26
