"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",66,0.38
"""Income and Sources (4.2) at Start""",68,0.17
"""Income and Sources (4.2) at Annual Assessment""",85,0.96
"""Income and Sources (4.2) at Exit""",21,0.15
