"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",233,133,100
"""31 to 60 days""",80,16,64
"""61 to 90 days""",53,14,39
"""91 to 180 days""",58,7,51
"""181 to 365 days""",33,3,30
"""366 to 730 Days (1-2 Yrs)""",16,0,16
"""731 to 1,095 Days (2-3 Yrs)""",13,0,13
"""1,096 to 1,460 Days (3-4 Yrs)""",13,0,13
"""1,461 to 1,825 Days (5-5 Yrs)""",10,0,10
"""More than 1,825 Days (>5 Yrs)""",43,0,43
"""Data Not Collected""",0,0,0
"""Total""",552,173,379
