"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",113,76
"""1-3 days""",16,9
"""4-6 days""",10,2
"""7-10 days""",12,7
"""11+ days""",77,79
