data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),345,337,0.98,data_quality,2022-06-01,2022-06-30,Q6f
Bed Night (All clients in ES - NBN),231,199,0.86,data_quality,2022-06-01,2022-06-30,Q6f
