"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",224,183
"""1-3 days""",18,24
"""4-6 days""",17,9
"""7-10 days""",1,1
"""11+ days""",96,108
