"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",50,0.15
"""Income and Sources (4.2) at Start""",205,0.23
"""Income and Sources (4.2) at Annual Assessment""",133,0.71
"""Income and Sources (4.2) at Exit""",112,0.4
