, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1098,664,413,11,10
"""Hispanic/Latin(a)(o)(x)""",96,40,54,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",5,1,1,0,3
"""Total""",1200,705,469,13,13
