, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",496,231,253,12,0
"""Hispanic/Latin(a)(o)(x)""",46,14,30,2,0
"""Client Doesn't Know/Client Refused""",1,0,0,1,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",544,245,283,15,1
