"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",2,0.02
"""Income and Sources (4.2) at Start""",45,0.12
"""Income and Sources (4.2) at Annual Assessment""",51,0.54
"""Income and Sources (4.2) at Exit""",3,0.05
