"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",38,14
"""1-3 days""",18,3
"""4-6 days""",4,6
"""7-10 days""",4,0
"""11+ days""",53,73
