"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",53,0.14
"""Income and Sources (4.2) at Start""",220,0.23
"""Income and Sources (4.2) at Annual Assessment""",123,0.69
"""Income and Sources (4.2) at Exit""",134,0.42
