"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",194,198
"""1-3 days""",24,40
"""4-6 days""",16,7
"""7-10 days""",10,4
"""11+ days""",134,121
