, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1123,672,430,11,10
"""Hispanic/Latin(a)(o)(x)""",116,55,59,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",6,2,1,0,3
"""Total""",1246,729,491,13,13
