data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),106,89,0.84,data_quality,2021-06-01,2021-06-30,Q6f
Bed Night (All clients in ES - NBN),4,4,1.0,data_quality,2021-06-01,2021-06-30,Q6f
