count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,97,9,32,exit,2021-06-01,2021-06-30,Q13b2,without_children,54
None,97,9,32,exit,2021-06-01,2021-06-30,Q13b2,with_only_children,2
None,97,9,32,exit,2021-06-01,2021-06-30,Q13b2,unknown_household_type,0
1 Condition,56,11,2,exit,2021-06-01,2021-06-30,Q13b2,without_children,40
1 Condition,56,11,2,exit,2021-06-01,2021-06-30,Q13b2,with_only_children,3
1 Condition,56,11,2,exit,2021-06-01,2021-06-30,Q13b2,unknown_household_type,0
2 Conditions,21,2,0,exit,2021-06-01,2021-06-30,Q13b2,without_children,19
2 Conditions,21,2,0,exit,2021-06-01,2021-06-30,Q13b2,with_only_children,0
2 Conditions,21,2,0,exit,2021-06-01,2021-06-30,Q13b2,unknown_household_type,0
3+ Conditions,16,0,0,exit,2021-06-01,2021-06-30,Q13b2,without_children,16
3+ Conditions,16,0,0,exit,2021-06-01,2021-06-30,Q13b2,with_only_children,0
3+ Conditions,16,0,0,exit,2021-06-01,2021-06-30,Q13b2,unknown_household_type,0
Condition Unknown,43,2,1,exit,2021-06-01,2021-06-30,Q13b2,without_children,40
Condition Unknown,43,2,1,exit,2021-06-01,2021-06-30,Q13b2,with_only_children,0
Condition Unknown,43,2,1,exit,2021-06-01,2021-06-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2021-06-01,2021-06-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2021-06-01,2021-06-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2021-06-01,2021-06-30,Q13b2,unknown_household_type,0
Data Not Collected,6,1,4,exit,2021-06-01,2021-06-30,Q13b2,without_children,1
Data Not Collected,6,1,4,exit,2021-06-01,2021-06-30,Q13b2,with_only_children,0
Data Not Collected,6,1,4,exit,2021-06-01,2021-06-30,Q13b2,unknown_household_type,0
