count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,129,31,42,exit,2014-12-01,2014-12-31,Q13b2,without_children,56
None,129,31,42,exit,2014-12-01,2014-12-31,Q13b2,with_only_children,0
None,129,31,42,exit,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
1 Condition,21,4,2,exit,2014-12-01,2014-12-31,Q13b2,without_children,15
1 Condition,21,4,2,exit,2014-12-01,2014-12-31,Q13b2,with_only_children,0
1 Condition,21,4,2,exit,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
2 Conditions,18,0,2,exit,2014-12-01,2014-12-31,Q13b2,without_children,16
2 Conditions,18,0,2,exit,2014-12-01,2014-12-31,Q13b2,with_only_children,0
2 Conditions,18,0,2,exit,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
3+ Conditions,4,0,0,exit,2014-12-01,2014-12-31,Q13b2,without_children,4
3+ Conditions,4,0,0,exit,2014-12-01,2014-12-31,Q13b2,with_only_children,0
3+ Conditions,4,0,0,exit,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
Condition Unknown,8,2,0,exit,2014-12-01,2014-12-31,Q13b2,without_children,6
Condition Unknown,8,2,0,exit,2014-12-01,2014-12-31,Q13b2,with_only_children,0
Condition Unknown,8,2,0,exit,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2014-12-01,2014-12-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2014-12-01,2014-12-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
Data Not Collected,0,0,0,exit,2014-12-01,2014-12-31,Q13b2,without_children,0
Data Not Collected,0,0,0,exit,2014-12-01,2014-12-31,Q13b2,with_only_children,0
Data Not Collected,0,0,0,exit,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
