data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),31,0.13,data_quality,2021-01-01,2021-01-31,Q6c
Income and Sources (4.2) at Start,199,0.2,data_quality,2021-01-01,2021-01-31,Q6c
Income and Sources (4.2) at Annual Assessment,260,0.82,data_quality,2021-01-01,2021-01-31,Q6c
Income and Sources (4.2) at Exit,90,0.43,data_quality,2021-01-01,2021-01-31,Q6c
